click_id,campaign_id,utm_source,utm_medium,utm_campaign,event_timestamp
9b8b9e09-1088-479e-a996-9ffc0882a1f4,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-06-10T23:05:55.887016
11c87ae5-77c7-4611-9be4-55cb577db9af,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-03-12T22:30:56.964698
3f6a0cb2-9e2c-4609-ad7a-8451669aa820,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-08-02T17:32:46.977067
ed6fe5fd-b71e-40ae-99d0-57df04ca1b3f,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-09-29T07:04:38.218953
724addaa-fa16-4664-9d73-60a325fe8889,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-04-14T22:16:21.666918
b9f5a8bb-447e-4777-8719-408c67f9a65d,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-10-03T15:47:36.490363
9e9f9e34-cbee-401d-8b52-4d2f43a66c13,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-06-19T02:48:17.412832
fbafc945-0ed8-472c-9dc7-48692a150496,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-03-10T08:37:46.820494
7e8ba72e-f947-4cab-ad02-a8769e4d828b,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-06-10T15:11:37.120203
fbdf9931-9916-4f4e-8b02-183c636283f2,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-05-05T15:23:49.581605
767ab80b-1a74-41f3-9258-b5c43e5da014,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-01-17T19:13:07.513870
6457ef61-98bf-435b-9dbd-652876104f36,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-11-28T22:32:02.513356
a41c600b-e5c2-4a08-823b-a5d397eeb0a5,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-01-19T03:05:05.215182
7bbb54b5-79f7-49d9-91f3-b6d13959fed9,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-09-24T15:54:12.070853
708fdfbb-2cd4-49e1-9199-db379f138202,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-04-01T00:40:06.108503
e17956f4-4fc4-43c2-a17c-60a43eaad61f,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-07-28T14:16:05.429262
a53302ca-e194-472a-88f0-87d52e0439fa,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-01-10T18:02:34.985825
202893ce-5345-4425-9985-ca2cd4a067df,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-07-14T22:28:36.441292
0720d327-fc5d-4386-9ac1-5f9c2086fb94,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-06-20T21:20:19.177737
4e741256-b4fd-40dc-9d28-2b3ab735e1d1,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-12-08T11:45:40.218940
ff36f33a-e31f-47ed-b53a-4d68ca71b1ea,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-07-10T05:10:10.899726
a784b3ce-c97a-4d93-b861-073c5fb7f82b,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2026-05-13T13:48:22.394285
fe93d04a-95d3-41f2-8b96-22dbef175c5c,0b4056db-11d5-4149-8328-dfd24fb8e342,google,cpc,promo_verao,2025-06-16T07:25:32.271960
